id,company,ticker,analyst,executive,question,answer,label,rater2_label,notes
11,Wells Fargo,WFC,"Manav Gosalia, Morgan Stanley (second follow-up, to Scharf)","Michael Santomassimo, CFO","And if I can ask a quick clarification on that So you would need to see the rules being finalized before you act on that lower CET 1 ratio? Or sorry. On the on the higher capital on the ability for the new capital rules to give you more CET1, you would only on that in terms of buybacks or capital deployment once the rules are finalized?","Yeah. I think we need to see the rule get finalized. But we hopefully, that will get done pretty quickly.",,,
12,Wells Fargo,WFC,"Matthew O'Connor, Deutsche Bank","Michael Santomassimo, CFO","Just a quick comment before my question here. As your markets business has gotten bigger, I know you give us the pieces that you could probably calculate it, but showing the NIM ex markets, I think, might be helpful in kind of handful of these questions. Related to it. My question is, the new credit card accounts, as you pointed out, are up sharply post listing of the asset cap. I think it is up 50% to 60% now. In the 4 quarters. Any way to estimate how much of a drag there is from those new cards and related promotions as we think about the credit card yield? And then when does that inflect as the backbulk kind of starts overwhelming the new accounts?","Yeah. So it is as Charles sort of mentioned in his script, like, we have made some you know, intentional decisions to, you know, see the growth like, you know, continue to execute on growing those accounts. And I think you know, the good part about what we have seen now for the last you know, almost 4 quarters, I guess, started really in the third quarter of last year. Is a lot of that a lot of those new accounts are actually coming through our either our branch network or, you know, people coming directly to wellsfargo.com. And so the acquisition cost there are lower than, you know, if you are if you are doing them through, you know, third party affiliates and others. And so that is a really good thing, you know. And with that comes really high quality, you know, accounts. We know these customers. You know, the majority of it is still existing customers that are, you know, coming you know, coming to, you know, us for these, you know, these cards. And so I think that is a good thing. And I think as, you know, those vintages are a little bit bigger than the, you know, the early vintages. And so but overall, we continue to make you know, we will continue to make those decisions as we go quarter to quarter and decide sort of you know, what we are seeing and how happy we are with the quality of it. And I think, you know, both but despite that, I think over the next couple years, will you will see you know, the profitability of that business, you know, just you know, continue to increase, and the return increase in the business, and that is, you know, the way we have been sort of managing it. And then, you know, the yield quarter to quarter, you know, in terms of, you know, what you see from the credit card deal, that will that will move around a little bit depending on sort of what we see from the new acquisitions. But over a longer period of time, you will see that continue to increase as those as those vintages mature, and you transition from the intro, the APRs or the you know, balance transfer APRs into sort of real revolve revolving balances. And that will happen over the next couple of years.",,,
13,Wells Fargo,WFC,"John Pancari, Evercore ISI","Michael Santomassimo, CFO","Morning. I just want to see if you can comment a bit more just around deposit price competition that you are seeing. How is it trending versus your expectations? And then related to that, I know you did comment on the growth expectation on the loan front on the mid single digit side. Do you still confidence around a mid single digit pace growth as you look at your deposit strategy? Thanks.","Yeah. I mean, the short answer on the second part is yes. On the deposits. And again, a little more weighted to interest bearing than non interest bearing as I mentioned, John, but we are seeing, you know, week to week, month to month sort of the growth that we expect there. So I think that is that is good. You know, on the on the pricing competition question, you know, it really has not changed over the last few quarters. Know, on the consumer side, you know, our standard, you know, rates have not moved. We are not seeing, you know, shifts in behavior than what we have seen over the last few quarters there in terms of you know, people yield seeking in any in any way. So I think that is that is good. And then on the commercial side, know, rates are always competitive, but what we have not seen we have not seen rates get more competitive than what we would have expected. Normally, you know, across those businesses, and we are really careful to you know, not overpay to attract And so I think, yeah, we are not we are not seeing that kind of pressure and, you know, there is always there is always an example of, yeah, of something to the contrary to what said. But I think when you look at the vast majority of the activity we are seeing it is all very much right in the fairway of what we would have expected to see.",,,
14,Wells Fargo,WFC,"John Pancari, Evercore ISI (follow-up)","Michael Santomassimo, CFO","And then separately on expenses, I appreciate the color you already gave around efficiency and everything. Can you maybe just give us a little update around the risk and reg area of the of the cost base? I know there is still a fair amount of dedicated to that area. Is this broader area now that a lot of the regulatory issues have been worked through becoming a greater expense lever for you? Thanks.","Yes. Certainly. And I think, you know, we talked about that over the last couple years. Right? As we completed the work and moved past, you know, the consent orders that we had in place, you will see us continue to make that prop those processes that we put in place more efficient. And if you think about where we started this journey 5, 6, 7 years ago now, you know, I think there is better technology. there is better ways to do things. And so the normal streamlining that sort of happens is happening. But that will be a very methodical sort of approach, and you will see that happen over, you know, over time. But it certainly part of some of the efficiency that you are seeing come through in the last couple of quarters.",,,
15,Wells Fargo,WFC,"Chris McGratty, Keefe, Bruyette and Woods","Michael Santomassimo, CFO","Great. Just 1 on credit. it is been questions have been fairly limited on conference calls this quarter and throughout the quarter. Just I guess, a check-in on consumer health of the consumer, anything incremental you may be seeing? And then conversely on the commercial borrower, demand for credit we talked about, but just any signs within the commercial book of weakening or normalization. Thanks.","Yeah. On the on the consumer side, it really is good. You know, the delinquency trends are better than we model most months. Really, every month that we have seen now for the for all year, across each of the portfolios. We are not seeing sign any you know, we are not seeing any cohorts of clients whether you break it by FICO or other ways to look at higher or lower income levels. We are not seeing any of the trends in any of the cohorts change really at all. Certainly not anything meaningful. And so I think, you know, it is supportive of, you know, a good second half of the year, you know, when you think about sort of delinquencies and charge offs. And so I think that is really good, and that supported you know, by, you know, the strong, you know, employment know, picture that we see more broadly, and we have seen, you know, good wage growth to counteract some of the inflationary, you know, issues that we have that we have had. And so overall, you are seeing really good performance on the consumer side. On the commercial side, same. Really, there is no issues that we are seeing, you know, come through the portfolio. there is always you know, individual idiosyncratic issues you might see with an individual borrower. But overall, we are seeing really good credit performance. I think people are still being very cautious about, you know, big investments. They still have more liquidity in most cases than they did know, maybe historically, you know, pre COVID days. Yeah. You are not seeing people, you know, make big investments in terms of hiring lots of people, but you are also not seeing people fire a lot of people, at least in what we can tell in our book. And so I think overall, you know, I think people are managing their liquidity and managing their, you know, overall balance sheets quite well in the commercial side. And so, again, you know, we have not seen anything that would suggest there is a change to that at this point.",,,
16,Wells Fargo,WFC,"David Chiaverini, Jefferies","Michael Santomassimo, CFO","Hi, thanks for taking the question. So you mentioned about the markets business. Asset growth should slow in the second half. Is that a function of this business getting to your comfort level? And then from there, the markets business asset growth should be in line with overall balance sheet growth?","No. it is not necessarily that. I think, you know, you know, when you think about what happened, you know, pre asset cap, we really had to constrain that business. And so, you know, the financing balances that we added, you know, starting in the second half of June last year, know, was at a pace that is just not, you know, sustainable for, you know, forever. And so it really was the reemergence and the, you know, the reentry, I guess, in some cases into sort of the financing activity that we had just more broadly across that business. And so you will see it just start to more get to kind of more of a natural, you know, growth rate over the next step, you know, couple quarters. And then we will see how we will see and then we will we will decide, you know, how fast it goes from there based on the opportunity sets that is there. But it really you know, the pace you saw was really a reflection of us coming out of the asset cap and being able to deploy balance sheet at a pace that was just different than normal.",,,
17,Wells Fargo,WFC,"David Chiaverini, Jefferies (follow-up)","Michael Santomassimo, CFO","Got it. that is helpful. And then, shifting over, I was curious about advisor hiring. Can you talk about the competitiveness and the pipeline you are seeing there?","Yeah. I mean, advisor--you know, getting really good advisers and teams of advisers, you know, has always been competitive. And I think continues to be competitive. We are very disciplined about our approach to that. We do not overpay. We have not changed our deal, you know, you know, to recruit advisers in a while and do not plan to. So we may miss out on some teams if that is the case. So what we try to make sure that we are providing is the right platform with the right capabilities to attract these advisers, and I think that is really resonated. And if you look at the last you know, 3 quarters, you know, we have had close to, if not record recruiting in terms of the amount of business they bring. So think of it as, like, revenue that is coming onto the platform over the last 3 core each quarter for the last 3 quarters. And so it is been quite good to see those advisers our yeah. And our attrition is at, you know, record low for us in terms of attrition that we are seeing, you know, across the adviser space. And what is good about the types of advisers we are attracting is they bring really good investment business, but they also bring, you know, the need for banking, which is, you know, both deposits and lending. Which I think really rounds out the profitability of the business that is coming out of the platform, which helps improve the margin of that business over a longer period of time. And so the team's done a really nice job attracting you know, the right types of advisers, and the pipeline that we have got is quite good in terms of looking at, you know, the rest of the year.",,,
18,Wells Fargo,WFC,"Vivek Janaeja, JPMorgan","Michael Santomassimo, CFO / Charles W. Scharf, CEO (speaker attribution ambiguous in source for this one)","Thanks. Can you hear me? Yes, we can. Yep. Thanks. Charles, Mike. Sorry. I am just stepping back on NII. We are stepping away even just from them. Both you and Mike said at conferences in the second quarter, you were very confident about the $50 billion NII. And today, gone to 50 billion plus or minus. Seems like a little bit of a shift. Any color on what is driving that?","Is that a shift? what is driving that little shift? David, that no shift at all. The 50 billion plus or minus is exactly what we said in January and exactly what we said, you know, in the fur end of the first quarter. And what I said at Morgan Stanley, you know, conference and others. And so I think no shift at all, and we are very confident. No intention to shift anything or guidance is the same, and we feel confident about it.",,,
19,Wells Fargo,WFC,"Vivek Janaeja, JPMorgan (follow-up)","Michael Santomassimo, CFO","Okay. That was an important clarification. Commercial loans, your period-end growth slowed a little bit. Any color on what is driving that? Do you expect that to pick up again? And then, of course, what would be the driver of that? Anything? That you can Yeah.","Look at look, the period end number is driven by lots of factors, Vivek. You have some seasonality through the quarter. You saw some you know, tariff related, refund related pay downs, but there is nothing that I would highlight as sort of a change in overall sentiment that, you know, is impacting the clients. And as I, you know, said earlier, I think on the consumer side, we expect to see more growth in you know, in auto and in card. I think you will see home lending be stable. And then I think you will see some growth in the commercial portfolios in the second half of the year.",,,
20,Wells Fargo,WFC,"Gerard Cassidy, RBC Capital Markets","Charles W. Scharf, CEO","Thank you. Hi, Charles. Hi, Mike. Can you guys share with us on credit Obviously, your credit quality is very strong. The industry is experiencing really good credit. In this period? Are you seeing any signs of risk taking by your competitors in terms of underwriting in the commercial loan area or it could be in consumer If not, what are you looking for as we go forward for some aggressive underwriting that could lead to issues you know, in the next credit cycle.","Yeah. Let me take a stab at it. And, Mike, you can either agree, correct me, or not. I think on the side, we would say, not really. What we see is kind of, you know, consistent underwriting versus the people that we compete with. Know, everyone kind of comes and goes sometimes, and you know, times are good. But not a lot. On the consumer side. I think on the wholesale side, it is a very, very different story. And, you know, that is where you see the deployment of significant amounts of capital, not just from banks and from non-banks. And there is a wide range of risk that people are taking in the lending activities. I kinda try to allude to this in my remarks. You know, we are you know, staying true to who we are in terms of what our risk tolerances are. In the context of a growing franchise. But when you look at whether it is, you know, things in data centers, some of the, you know, the strategic transactions that are done you know, that are being done out there. There is, you know, there are more risk assets being created on the wholesale side, and there is a lot of capital out there that is you know, there to support that. And you know, we are doing, you know, the pieces of the transactions that were comfortable with that have the credit profile. That we are used to underwriting, and there are others that are willing to take more risks than we are.",,,
21,Wells Fargo,WFC,"Gerard Cassidy, RBC Capital Markets (follow-up)","Charles W. Scharf, CEO","And just as a quick follow-up to that, answer, Charles, on the consumer, is there any way you guys measure or can capture the nonbank consumer lenders? And I know that as not primarily your customer because they tend to be a higher risk customer. But is there any way of making sure that there is another second derivative effect on your better quality consumer customers?","Well, I mean, I am not sure. I will make sure I am following this. I think know, when it comes to, you know, the consumer credit that we are extending, we are making our own credit decision with every single loan based upon everything that we know, including looking at bureau and things that they might have away from us to the extent we can see it. And so you know, that is that is totally within our control, and we understand that. We do see some of the activities in the nonbank universe through what we do on the wholesale side in terms of who we finance. We have, you know, we have talked about this last quarter. it is good information to have, but we are also know, selective about who we are lending to, and because not everyone in that space has the same risk tolerances.",,,
22,Wells Fargo,WFC,"Gerard Cassidy, RBC Capital Markets (final follow-up)","Charles W. Scharf, CEO","And then just as a last follow-up, final question, I know this is probably hard to answer, but AI has been just so powerful to The US economy. In terms of capital expenditures. You mentioned, you know, data centers, of course, Is there any way of getting your arms around of second derivative exposures to the AI industry for Wells. So that, you know, I do not think you or many of your peers have direct data center construction loans, but I am just wondering that if this when this boom slows down, is there some fallout that we could see, potentially, down the road on the second derivative of the suppliers or other folks that it is not as clear maybe today that they have that kind of exposure in their business models?","Yeah. I mean, listen. I think, you know, when you look at the exposures that are being created to help finance the build out, I mean, you are you are you are absolutely right. There are different types of things that are being financed. Right? there is core and shell. there is power. There are chips, and there are a whole series of things that go into the data center. And, you know, we underwrite those different pieces of those financings very differently. We rely on, you know, different types of you know, different types of credit support for those to be paid off. And, you know, it is very, very different lending to a chipmaker that has 80% margins where we get paid back in a year and a half versus lending to you know, someone else in the supply chain where it is going to take, you know you know, 15 years to get paid back or 10 years to get paid back, in the hope that the LLM provider who is renting that space is gonna be there. And so, there are and so that is the complication. That, you know, everyone is working through in terms of, you know, who we lend to. And that is when I say that, you know, they are different kinds of risks that are being created here, and we are working to stay within the lane of the risks that we understand. We are confident not just that we understand it, but we will obviously get paid back, And different people have different risk tolerances. And you know, that is that is always been the case.",,,
23,Citi,C,"Glenn Schorr, Evercore ISE","Jane Fraser, Chair and CEO","Hi. Thank you. So I am a huge fan of investing back in the business during great times. So and I heard your message loud and clear, and we see your guidance. But people are trying to parse through the not upping of the RTC target this year. How much do not know if you can quantify in numbers, that is what I am asking, is how much of it is conservatism and not knowing what is ahead in the second half versus investments you have already made versus investments you are going to make in this in this second half? I am just trying to get through the parsing of it. Thank you.","Okay. I may take that, Glenn. Well, I have to say with a good first half under our belt, we have shifted our focus from the 2026 waypoint to the near term and medium term targets and the investments behind them. As you say, we have operated in a good environment so far this year. Think the whole industry has benefited from revenue growth and benign credit. What I think I am most proud of is that we have generated real alpha. it is outperformance that we created. it is not just a rising tide, and you have seen us pair that with consistent expense and capital discipline whilst investing.

Now, as you say, how strong the second half turns out largely depends on the macro and the market backdrop. And that is true for everybody. We are deliberately investing for long term growth. And for improved returns. Of weeks or a few weeks ago, we laid these out in the investment plan in detail at investor day. And you see we just have a lot of opportunities here. And we are funding these investments whilst holding our efficiency ratio for the year around 60%. And there is real discipline beneath that number. So to be clear, if conditions stay constructive, we intend to take full advantage of that.

We will lean in, bringing forward investments and other actions that will create value for our shareholders over the medium term. As I said in my opening, a stronger environment is not just upside to report, it is an opportunity that we are going to put to work. So I am very comfortable with our 10 to 11% number.",,,
