id,company,analyst,executive,question,answer,rater2_label,notes
32,Citi,"John McDonald, Truist (follow-up)","Gonzalo Lucchetti, CFO","Okay. And then maybe a follow-up on that. Is on the DTA utilization. Could you give some more color on what drove the nice step down in DTA this quarter? And just a reminder of the path that you are hoping to see over the next 2 years for that to come down from, I think, ending this year at $13 billion, going down to $7 billion","Thanks very much for the question. And we know that DTA is an area where we have to demonstrate the performance because the last couple of years, we have not consumed as much. But hopefully, you are starting to see a couple of dots there on the page. So just to recap, you know, briefly, our starting position at the end of last year $13.9 billion of the disallowed portion of the DTA. Our position right now is $13.4 billion. So year to date, we have consumed about $500 million of that As a reminder, there is carryback support that builds up in Q1 and then starts to wear off during the year.

So you have an element of that playing through. And then our US profitability that we disclosed last year was about $4 billion This year, we expect to make you know, good progress in that. And you heard, you know, from all my colleagues, the business heads, talk about it at investor day. And you are seeing it play through in second quarter. Right? When you look at the deposit growth in services, the 19%, a good portion of that growth comes from North America. When you are seeing the strong quarters in markets and banking, a good portion of activity in both of those businesses comes from The U. S. The improvement in returns from wealth, right?

Wealth coming from 7.7% to 10.8% to now 14.4 ROTCE. A good portion of that activity comes from the improvements in the affluent business, in the retail bank and across the franchise that are North America-centric. And then finally, of course, high returns in cards, which are also improving year on year. So all of those areas and the focus and I have spoken about before how Jane has made sure that we are all held accountable in our scorecards for this. We will hopefully over time you know, demonstrate to you through the numbers, you know, how that comes through. As I always say internally and I repeat it externally, you need 2 dots to draw a line.

So we are pleased to see the first dot here in the second quarter and we look forward to, you know, continue to demonstrate progress in this space. And sorry, final reminder, I guided earlier in the year that the full year target was $800 million of burn down of DTA. And so we have done $500 million of the $800 million year to date. Thank you.",,
36,Citi,"Jim Mitchell, Seaport Global (follow-up)","Gonzalo Lucchetti, CFO","Just on cards and consumer delinquency is down. Despite sort of fears, I guess, that many have had around rising inflation and the impact on the consumer. So what are you seeing in consumer credit and consumer behavior and does it look like these favorable trends are continuing?","Yes. Thank you. So I think a couple of thoughts there. First, we are seeing a stable credit environment. The US consumer is showing up as and I know it sounds like a broken record from, you know, a few quarters, but The US consumer has been resilient Right? And you can see that with the spend, Even if you take out in our spend the part of, you know, the Barclays American Airlines book, this quarter, you still see, you know, 6% to 7%, 7% and ex the gas inflation in the quarter. You are hearing around 6%. that is very healthy as it relates to the spend.

And in line or on the higher end versus the last few quarters. Then when you look at the delinquencies and the net credit losses, you can see that across the portfolios, right, both delinquency and credit losses are down year on year. So across another 4 key metrics. And when we look at our leading indicators of you know, collections and the usual pockets that you look at when you are trying to seek for stress. You are really seeing an environment that is, you know, stable.

As Jane mentioned in her remarks, you know, credit has been in line or better than our expectations. that is also why when we guided the range for this year, the 4 to 4.5, we anchored it on if you if you actually I know we use to look at the business with slightly different lens. But if you do the math, this is a lower range than the 1 we have had in the past and that is a reflection of what we are seeing in the environment.

And as you know, because of the right of rules, which are 180 and a 120 depending on the card or loan, we have a pretty decent sense as to what the rest of the year entails and we see that over stability. Again, subject to the watch outs. Right? And you mentioned some of them. Right? They watch out on inflation and what happens with that, which, I know we had a better read just now. Was the relationship between that inflation and the wages. Right, the savings rate impact on that for clients and ultimately unemployment, which has been relatively in equilibrium for the last few weeks. And so we are constantly looking at that.

But so far, it is it is it is a constructive environment. Thank you.",,
55,Expedia,"Ken Gawrelski, Wells Fargo","Ariane Gorin, CEO / Derek Andersen, CFO","Thank you very much. Two, if I may, please. First, could you maybe talk about your approach to the marketing landscape? There's been some changes on the search side, SEO has been called out from many companies in the consumer landscape. Could you just talk about what you're seeing there first, maybe? Then second, if I may, as you think about your second half outlook, maybe, I apologize if I may have missed this, but could you talk about your outlook for ADRs and maybe the environment we might be in as we think about the difference between bookings and nights growth? Thank you.","Sure. I'll take the first one, and then Derek Andersen can take the second one. When I think about organic traffic, and I'm going to bucket together SEO and AEO, for us, organic search traffic is stable to slightly up. Now, as I mentioned in my prepared remarks, AEO is one of our fastest-growing channels, and SEO has remained a bit soft, but it's stabilized over the last few quarters, and I think it's due to the great work that our team has done. A number of quarters ago, we organized a small team to look at organic across the board, AEO and SEO, and they've increased testing velocity, both technical and content. As I said, they've been doing more tests. They've been using AI across the board in order to improve our performance in that channel. Now that being said, as I said earlier, it's a fast-changing space. We're seeing algorithms and search page changes more prevalent and happening faster than they have in the past, which is why we're staying vigilant. We're monitoring, we're reacting to them. Today, we think we're getting at least our fair share, but organic is an important thing to us, so we're making sure that we're staying on top of it.""

**Answer (Andersen):** ""In terms of the second half guidance on bookings and so on, we're assuming that the healthy demand trends that we have seen through Q2 and to begin Q3 here persist, and that's led by a particularly strong U.S. and domestic market. We do, of course, see an environment where the conflict in the Middle East is having some impacts. The sort of direct impacts in that region, our business there is relatively small, and so the impact is lighter. However, there are secondary impacts impacting jet fuel prices, which have an impact on airline prices and ticket prices. There are some secondary impacts, but the strength overall and the resiliency in the travel market and consumers continuing to prioritize travel has led to a relatively resilient environment. That informs our guide for Q3 and the updates we made to our full-year guidance. As it pertains to bookings and room nights specifically, we do have much tougher comps in the second half of the year, and so we've incorporated that into the guide for Q3 and the update that we've made for the full year. We do expect the growth rates to decelerate as we see those comps, although probably more so on the booking side, a little less so on the room night side, but we will face much tougher comps on both of those numbers.",,
65,AIG,"Meyer Shields, KBW (follow-up)","Eric Andersen, President and CEO / Keith Walsh, EVP and CFO","Okay. Perfect. And then a quick question for Keith. You talked about getting accident year '23 excess casualty sort of in line with subsequent years. And I understand why that wouldn't have an impact on any need for changing this year's loss picks. But what about accident year '22, '21? Is there significant IBNR there that would also need to be reviewed?","Meyer, maybe -- this is Eric. Let me just jump in, and I just want to provide 1 or 2 comments before Keith answers that question, which he will do well. I think he laid out in the prepared remarks sort of the factors around our reserving process, right, whether it was the limit management strategy, the re-underwriting, the reinsurance program, the reserving philosophy. And I personally spent a lot of time in the last couple of months going through with the team our reserving process, how we build the loss picks at a granular level, what the actuarial claims and underwriting triangulation does to get ahead of trends, the robust governance over it.

So I feel really good where we are. But with that, Keith, why don't you add a little bit of color?""

**Answer (Walsh):** ""Yes. Thanks a lot, Eric. Meyer, as we look at our reserves there's ranges of estimates that are informed by different methods and assumptions. Eric commented on our process, so I won't repeat that. What I'll tell you is we made the comment predominantly in accident years '16 and '23, and that's where we saw the impact. But our experience, specifically on '23 is broadly in line with our expectations, and we continue to be in our expected range of outcomes, and that includes the more recent accident years as well. For 2023 specifically, we took the opportunity to move up in the current range. And that now brings us to a similar level to years '24 and '25.

We're not seeing material or any deterioration, any real deterioration in '23 and no change in frequency or severity. We just felt it was simply prudent to move up in that range to be more consistent.",,
70,AIG,"Rowland Mayor, RBC Capital Markets","Eric Andersen, President and CEO",I was wondering if you could size the premium contribution from the Convex quota share in the quarter. I think it would be helpful since there's built-in growth from that over the next few years.,"Listen, I would say when you look at the 9% in the second quarter and the 13%, we've talked about it coming in a couple of different buckets. Certainly, the organic number, somewhere I would call low to mid-single digits. And then the other -- but honestly, as I said before, with the Everest transaction, it gets a little difficult to track as we start to go client by client where we have a shared relationship. And so the rest of it fills in with some of the other transactions. So we haven't really broken out the pieces. But just to give you some sense, we talked a little bit about the reinsurance tailwind in the first quarter.

That's largely dissipated in the second. And the rest of the transactions kind of fill in the rest of the percentages.",,
72,AIG,"Pablo Singzon, JPMorgan","Eric Andersen, President and CEO","The Global Personal Lines business combined ratio has been running close or better to your Investor Day target for the past several quarters. So how much of that, in your view, is the result of a generally favorable environment for personal lines versus changes that you have put through and perhaps your mix as well, right? Because we recognize that there are other lines in there aside from homeowners and personal auto. So any perspective would be helpful.","Sure. Listen, I think it's always hard to put those answers in specific buckets because they all have an impact on it, but we're excited about what's happening with the Global Personal business. We highlighted in the prepared remarks, the growth that we're seeing, 7% NPW growth, 220 basis point improvement in the expense ratio, 490 basis points improvement in the combined ratio. So all really positive and positive direction. We're excited about the business in general. We see it as an opportunity for us to really expand and connect the firm globally in areas that are pretty exciting. But the high net worth profitability, it was premium growth. It was underwriting actions.

It was some reinsurance savings, lower acquisition costs, running the business better around operating expenses. And then Jon talked about the A&H business. We're starting to see some good growth with a building pipeline, and we're investing behind that leadership team. We feel like they are really world-class and have really got the sort of the business line growing for us. So it has some cat to it, as we all know, especially the high net worth business, but -- and we've been a little bit fortunate. But ultimately, I think the fundamentals of the business are very solid, and we continue to invest in it.",,
76,Natera,"Puneet Souda, Leerink Partners","Steven Leonard Chapman, CEO","Yeah. Hi, guys. Thanks for taking the questions here and a really impressive quarter for Signatera. So first 1, if I could, Steven, you talked about a bit about the drivers But if you if you could double click on that, clearly, you are building very strong evidence that is playing out. Could you elaborate a little bit on how should we think about how are these increases sort of sustainable? Any color you can provide into, you know, 2027. And maybe just if you could double click on the what is powering this growth? Is it the sales rep, the commercial execution? Clearly, data's strong. NCCN data readouts. I mean, you could say all of those things, but maybe just the principal component that you think is driving this. And keeps this sustainable in terms of quarter-over-quarter growth, that remarkable growth that we are seeing here.","Yeah. Thanks for the question. Yeah. So I think there is some things that happened this quarter that we think were very beneficial. You know, you look at that FDA approval, you know, certainly, there is some halo effect coming off of that. That was received very positively after the INVIGA readout. But, you know, if you take a step back and you look at the preparations that we have made over the last couple of years, you know, we made big investments in the commercial team. We made big investments in medical affairs. We have been investing in large scale clinical trials and data readouts. So all of those things have put us in a position to now be executing and, you know, outperforming. So we are super excited to see that the planning that we put in now coming to fruition. But, ultimately, we really focus on sort of the 4, 5 core things. Across all of our businesses. 1 is, like, an extreme focus on a technology and being on that cutting edge of technology. The second is backing everything with a very significant amount of peer reviewed evidence, and you can see we have continued to invest in that and continued to extend our lead. And then the third is focused extensively on user experience. We have done a lot of things to you know, implement new ways to reduce TMP issues on tissue to be able to accept more samples. Mobile phlebotomy expansion, so forth. And then the fourth is the team, and we have a excellent team of on the commercial side and the 34 thousand quarter over quarter is just a blowout record I think, compared to anything that we have done you know, previously. You know? But you know, I would not say necessarily we are going to repeat that immediately. But, you know, if you look at, I think the previous record was maybe 25 thousand quarter over quarter or something like that. And I think we can outperform that, you know, as we as we move forward. And, you know, Q3 is off to a very good start. So, you know, I would expect us to be kind of somewhere right in the middle there.",,
79,Natera,"Daniel Brennan, TD Cowen","Steven Leonard Chapman, CEO","Great. Thank you. Thanks for the questions. Congrats on a strong quarter. Maybe could I start just on Signatera volumes again, given how strong it was this quarter. So a couple of thousand tests from the weather recapture, that is 32 thousand And I guess, Steven, you talked about that Salesforce expansion productivity, which is just beginning to hit. So I am just kind of wondering how we should be thinking about the go-forward pace because it sounds like, you know, given the size of the Salesforce expansion, that possibly you could see really, you know, another couple of quarters here really significant volume quarter to quarter growth based upon-- I mean, new salespeople are probably just getting going. That productivity enhancement.","Yeah. I think that is right. I mean, we have got you know, we got these sales folks that have just come online. We made a big investment in medical affairs. We are seeing a lot of momentum you know, coming off the trials that have read out coming off the halo effect of the FDA approval. You know, there is some things like, you know, even in bladder, for example, where you know, the Invigor protocol is sort of moving to kind of an every 6 week protocol, as outlined in the in the approval. Know? And I think things like that can kinda give us an upside, opportunity as well where people may be you know, starting to draw more frequently where they have traditionally drawn, say, quarterly or every 6 months. So there is a lot of momentum right now. And, you know, I do not think we will do 34 thousand. You know, obviously, we I think here we have really outperformed even our own internal expectations, but you know, like I said, our previous record all time record had been, I think, 25 thousand. And, you know, if we can outperform that, I think that would be you know, that would be a good achievement. And, you know, we think we are in a position to be able to do that. And kind of continue to notch up as the year goes on. But very strong momentum. I think we are crossing the sort of tipping point in the field where doctors are really starting to believe in MRD as a core part of their practice. And I think we are we are the major beneficiary of that. Given the breadth of our presence in the field and the amount of data that we put out you know, the size of our sales team. So everything's sort of starting to come together. Terrific.",,
83,Natera,"Daniel Markowitz, Evercore","Steven Leonard Chapman, CEO / Michael Brophy, CFO","Hey, guys. Congrats on the good results, and thanks for taking my questions. First, I wanted to ask on Signatera ASP it is nice to see the continued progress there. Steven and Mike, you both had some helpful comments on the step function improvements that we could see from specific catalyst. So what I wanted to specifically ask about is the 7 indications submitted to MolDX. Should we think about that in 2027? Is it coming online in the first half, and maybe it will take a few quarters? Get fully rolled out and realized? And then once it is fully ramped, in terms of the P and L impact, could it be, like, $200+ contribution to ASPs on that path to $2,000? And are there any incremental costs that come with it? Like, the way I am thinking about it, could be a really nice step up to the ASPs and also a nice inflection towards positive EBITDA. Is that the right way to think about it? Any color would be super helpful.","Yeah. it is a great question. I would say you know, with regards to the timing, you know, it is it is always hard to say. You know, but, generally, we have been able to sort of work through these submissions very successfully over time. Mean, usually, if you have a good peer reviewed published paper, and you submit to MolDx, there is gonna be some back and forth. there is gonna be a couple of rounds of revision, and then, you know, ultimately, you will you will end up getting coverage. And so that is why we feel like we are in a good position on these. I do not think that timeline of you know, at some point over the kind of second half of 26 and then kind of into the first half of 27, I think that is a reasonable time line. You know, which is basically you know, rolling coverages over the next sort of 12 months or, you know, something in that range. And frankly, I think it is good that they are very sort of strict in the way that they are, and I think that is benefited us because we generated so much data and so much quality data. And it really, in some ways, is a competitive moat. For others that are now entering the market where you know, it really takes a long time to generate this level of evidence that you can go to MolDX with. So we think we think it is an opportunity. On the path to 2000, you know, certainly, this would make a major impact on the path to 2000. But, Mike, do you want to comment specifically on sort of what number you think this might give us?

[continued by Michael Brophy, CFO]

Yeah. I mean, I think if you just kind of sum up the indications where we have got submissions in-flight or we are planning on submitting to MolDx. I mean, I would estimate that is worth something like $150 to the ASP, perhaps $200. So, Daniel, I think your estimate's roughly in the right range. So, obviously, that is that is a transformational difference. When you started December and you add that Steven mentioned the timing to, you know, to starting to get these coverages, and I think that is right. I mean. I think over the next 12 months, I think you start to get these coverages, and I would just reiterate what Steven was just mentioning on the process. it is, you know, it is hard to forecast with precision. But, I mean, I think rolling approvals over the next 12 to 18 months is probably the right way to think about it.",,
88,Natera,"Kallum Titchmarsh, Morgan Stanley (second follow-up)","Michael Brophy, CFO","And, Mike, maybe just 1 for you. Outside of the ASP uptick, highlighted some internal work that is being done to drive down COGS. Could you maybe just detail in a little more what those actions are and when you think those can come through the P and L? Thanks, guys.","Yeah. Thanks for the question. This is really kind of our standard playbook. We launched new products very frequently. You have seen that pace of the new launches been quite intense over the last year. As those products launch, obviously, they are not yet optimized for COGS as they kind of they get to volume scale. So as they scale, you get some natural efficiencies with workflows in the lab. And then also once you see you confirm that you do have the demand for the new product and the investment is worth it, then it is relatively straightforward to then deploy resources then to the workflow itself for COGS. Those are some of my favorite R&D projects because you can see what the demand is. You can see what the savings per unit is, and so it is quite easy to calculate returns on invested capital for those for those projects. And we have generated very high returns on these cost reduction projects. Over the last decade. So just given the pace of the new product launches we have had over the past year, we are well set up to have another wave of cost reduction projects that hit over the next 12 to 18 months.",,
92,Republic Airways,"Michael Linenberg, Deutsche Bank","Matthew Koscal, President and CEO","It's always nice to hear an airline characterize the year as a transformational year and still post double-digit operating and pretax margins. And so my question is just, as you -- in the release, you talk about the integration taking 18 to 24 months and then you get to a point where you expect to realize true operational synergies. How can we express that in margin improvement? We're at 10% on a pretax, 12% operating. Are we talking a couple of hundred basis points of margin improvement once the full integration is complete? How should we think about that?","Yes. So Mike, I don't know if we're ready to unpack what it looks like at the end of the road here yet. We're going to be able to unpack 2027 for you as we get towards our end of year forecast here, and we'll give you a bit of a peek into that. We really don't start to appreciate the full effects of this until we get through that back half of 2027 and fully into 2028, right? As we get into 2028, you'll start to see a lot of the noise, the redundancy and the fleet improvement, right, that increase in utilization that we'll unlock at Mesa and in the fleet there begin to contribute both to the top line and to the bottom line. But I think the 2027 forecast that we're working through now will help unpack a bit of that and start to shape up what 2028 can look like as well.",,
94,Republic Airways,"Michael Linenberg, Deutsche Bank (third question)","Joe Allman, EVP and CFO","My second actually is to you, Joe. Can you just remind us, this is a quick one, just your percentages of what you own of Eve and Cape Air?","Yes. So we're about a 40% owner in the Cape Air equity. And on the Eve investment, that's really a mark-to-market on the warrants that we hold related to Eve that flows through the non-operating line.",,
96,HSBC,"Alastair Warr, Autonomous","Georges Elhedery, Group CEO / Manveen Kaur, CFO","Two questions on costs, if I may. First, quite simple. If you could just give a little bit more color on where the additional simplification saves are coming from, what's changed there? And then a second question, just looking a bit further out, really. You've talked about the revenue in the medium term, moving up towards 5% growth. We've got a little bit more nuance today on variable costs. There are jaws built into consensus 2, 3 years. I just wondered if you could talk about the potential trend for reported cost growth, just bearing in mind that moving on to 5% on the revenue side in the next couple of years.","Okay. Thank you, Alastair, I'm going to take your first question around the additional saves and just give you some high level on variable costs, which then Pam can talk to with more color. So additions. So we're very pleased to have upgraded our simplification saves from $1.5 billion to $2 billion to be delivered and to be actioned before the end of this year and delivered in full in 2027. And we're doing so with the same initiative committed $1.8 billion of cost to achieve, a one-time cost to achieve. So we're pleased with this upgrade. We have seen strong progress on our cost delivery, part of it refers to areas of cost where we had a little bit more uncertainty at the inception of this program, and we felt more authority now 1.5 years into it. So you can argue this is a kind of 1.5 years ago, some conservatism in our approach, which we are comfortable to deliver. Some of it has been delivered because we managed through attrition, some of the headcount adjustments that may have been required as opposed to using severance. And then some of it has been additional identified opportunities that we decided to be in the program and accelerate given the -- that we haven't used the $1.8 billion envelope. So this is really how we're driving it. Remember, this is only one area where we're delivering simplification saves. The other area is by making these business exit decisions, 15 of which have been announced so far, with about $1.1 billion of associated costs, which would be saved from these businesses and reinvested, redeployed in our areas of strategic strength, where we expect to generate better revenues and better returns than the businesses we're exiting. Look, on variable costs, the comment I would make is this is a decision we will make at the end of the year, but we recognize that the momentum in our business and the performance have been strong in the first half specifically in the second quarter. And therefore, if we do continue to see this momentum in the business carry on in the second half, we would certainly consider to recognize the contribution of our colleagues towards it. In the variable pay, which all in all, will have a modest impact on our overall cost. But our commitment to cost discipline, our commitment to meet our cost target from the bank 1% on a cost basis and our confidence in being able to meet it are not changing. Pam?""

**Answer (Kaur):** ""Yes. Thank you, Alastair. So firstly, we are very disciplined on run-the-bank costs. And that is how we are now targeting $2 billion on simplification saves. And we have delivered 1% year-on-year in the second quarter, and we continue to guide on around 1% cost growth for the full year '26. Now just in terms of variable pay as a context, it was $3.9 billion last year, which is 11% to 12% of our group costs. So any increase which we will consider provided revenue growth momentum continues, and that's a decision, as Georges said, at the end of the year, they'll only have a modest change in total cost for the year. In terms of 2027, you've seen our revenues are growing. We printed a growth number, 6% Q1, 7% in Q2. And our investments to date, which are very focused, are working. Now this gives us strong confidence to bring forward our planned investments. So we may, therefore, add to investment growth in 2027. Now just as a background, inflation and investment increased costs by around 5% in the first half of '26, before simplification saves. So we expect in the next year, that we will offset any additional investment with simplification saves. And that will be a partial offset including the offset that will come from the additional $0.3 billion on simplification saves that we announced and today, which is on Slide 26. In addition, as Georges said, we have good momentum on our divestments. So the $1.8 billion of cost reallocations over the next several years will create incremental investment capacity. It was $300 million in '26, higher than '25. We expect that to be slightly higher in '27. So all in all, this is not about not having discipline in run-the-bank costs, but this is about making a clear distinction while maintaining discipline on run-the-bank costs to be able to invest for future growth, given the revenue strong trajectory of growth we're seeing so far this year.",,
101,HSBC,"Kunpeng Ma, China Securities","Georges Elhedery, Group CEO","I have two questions. The first is on the financing demand of the corporate clients. We can see the loan demand is returning. And also, we can also see many of those financing demands are on capital markets. So can we have some outlook on the future trend of the corporate -- of the financing demand of the corporate clients? How can HSBC handle the demand, especially for those on capital markets? Yes. The second is on Hang Seng Bank. I remember George just mentioned that some cases of the synergies like new customer acquisition. So can we have more color on this kind of synergies? And what kind of synergies can we expect in the future between the 2 banks?","Thank you, Kunpeng. I think, Kunpeng, I can take both questions here. So first, we're pleased to see corporate demand, financing demand continue. Actually, we're seeing it now continue in the U.K., and that's a continuation of the trend we've seen in quarter 1, aligned to the ambition of the U.K. to drive growth, and we -- as the U.K.'s leading international bank, very pleased to be supporting this both domestically, but also by bringing international investors into the U.K. But we're also very pleased to see that Hong Kong loans has picked up after many quarters of slowdown or contraction. So this is a very encouraging development for Hong Kong, and we do certainly hope that this is a trend. And our outlook remains very positive on this. And then you called it out very eloquently as well. Capital markets have played a very important role, in particular in Hong Kong, where we've seen practically 50% growth in financing through capital markets, including debt capital markets and IPOs. And we're superbly well positioned to play a very important role with customers as a leading debt financing house but also as a materially growing IPO financing house with now 40 live IPOs that we have in Hong Kong. The substantial increase from previous years and 70 IPOs across ex Asia. So certainly a very encouraging trend, which we hope to see continue. With regards to Hang Seng Bank, so we called out, if you recall, $500 million of reported synergies. These are audited standard -- U.K. audit standards of reported synergies and an additional $400 million of related benefits, which are broadly taking the overall synergies and related items to $900 million, which we are hoping to achieve in full over the next 3 years -- about 3 years. We're more than 80% now live in execution on the various execution work streams of these synergies, therefore, have a high level of confidence in our ability to drive those synergies. We have seen some substantial benefits. I called out earlier, 60,000 new-to-bank customers by gaining the synergies of HSBC is digital onboarding, that's double what Hang Seng Bank was able to onboard in quarter 1, 30,000. This is a clear demonstration of benefits of these synergies. We've also made multiple senior leadership announcements, in particular, in areas of infrastructure, back-office, technology, manufacturing, where now we have a single leadership in Hong Kong across HSBC and Hang Seng to drive alignment and synergies. But I would say, remember, we are net investor in talent and in technology of Hong Kong. Therefore, we do expect that if there are roles and there will be roles impacted by driving these synergies that the individuals have all the retraining and reskilling opportunities to be able to take on jobs in those areas where we invested.",,
102,HSBC,"Katherine Lei, JPMorgan","Georges Elhedery, Group CEO / Manveen Kaur, CFO","I have three questions. The first question is on ECL charges is on asset quality, right? So if we look at the Hong Kong CRE, it does seem like the asset quality trend has stabilized. Do you expect this trend to change or to further improve in the upcoming quarters? And also that we see, it seems like there is no notable overlay related to the Middle East situation that's been taken this quarter, how should we look at the situations with some escalation of the conflict again in the third quarter? Should we be saying that the key portions of the overlay have been taken. And going forward, it will be driven by like, say, Stage 3 loans? So this is on the asset quality side. On the second side, I just want to follow up on the cross-border one, on the China's cross-border regulations. Is the regulators like is the regulators consulting industry players, including HSBC, when they are drafting the details of the individual ODI regulations have been communicating and talking to the regulators on like potential directions of where that regulation is trending to and et cetera? Okay. I will just be with these two questions first.","Thank you, Katherine. I'll take your second question, and Pam can comment on the asset quality. So you would expect case to be in constant engagement with regulators, both in Hong Kong and in the Mainland at all levels. and engaging with them specifically with regards these and any other regulation. So this is a matter of just business as usual, I would say. And remember, we always operate at the highest standards of rules and regulations everywhere we operate specifically for client onboarding, cross-border rules where we have lost procedures. Pam?""

**Answer (Kaur):** ""Thank you, Katherine. So, from an ECL perspective, yes, Hong Kong, very encouraging signs. The top-up on the ECL line was just over $150 million for the quarter. Hong Kong residential is recovering very well, very stabilized now, house price index was up 18% year-on-year, and volumes are also up 36% in the first half year-on-year. Now in terms of retail, on the retail sales, we've seen 13 consecutive growth months growing at 11% year-on-year this year, and this is because of increased tourist activity and also effect of positive growth in Wealth. And offices in terms of the prime areas, it's in a good space because the overall vacancy rates are gradually declining to around 16%. But in Central, they have continued to fall even more vacancy rates down to 10% and rents are up 6% year-to-date. Now having said that, where we see some stress continuing is in pockets like in East Kowloon, where vacancy rates remain elevated at 20% and rents have further slipped by 4%. And that's in the office space and also some in the non-core retail space. So all in all, no new impairments and the real impact in the ECL charge this quarter comes from the pop-ups due to valuation declines in the existing impaired portfolio. And I expect that we'll, of course, watch it very closely and notwithstanding any sort of idiosyncratic kind of a situation, we do believe this is stabilizing very well indeed. Now from a Middle East perspective, I just want to remind you, the $300 million reserve that we built in Q1 still holds we have not released that reserve. That's in line with the policy. We like to see full two clear quarters of stability and -- before we release any of our reserves. So that is continuing. We have looked at small pockets of overlays how we shift and change them at an individual name level or indeed sector and geography level. And the Middle East actual experience we see on the ground has been really quite benign and the ECLs for our Middle East exposures in the Middle East has been very small, much lower than even $100 million number. Overall, of course, what we are very mindful is that pockets of increase in defaults globally, particularly in mid-market, where our exposures are small. Small exposures can also add up and that's contributed to some of the ECL charge for this quarter. And lastly, we are not -- we have now also taken out the very specific scenario we had created for the Middle East because that's now all factored in the downside scenario in terms of the overall economic factors and forward economic guidance.",,
